"","Home_ID","Away_ID","Day","Home_pts","Away_pts","Spread_Pred.x","Spread_Pred.y","Spread","Home_oreb","Away_oreb","Home_FGPct","Away_FGPct","Home_3Pct","Away_3Pct","Home_Steals","Away_Steals","Home_TPG","Away_TPG","Home_TSG","Away_TSG","Home_TOG","Away_TOG","Home_PPG","Away_PPG","Home_SPG","Away_SPG","Home_OPG","Away_OPG","Matchup_ID","Left_ID","Right_ID","Left_pts","Right_pts","Left_FGPct","Right_FGPct","Left_oreb","Right_oreb","Left_3Pct","Right_3Pct","Left_TPG","Right_TPG","Left_TSG","Right_TSG","Left_TOG","Right_TOG","Left_PPG","Right_PPG","Left_SPG","Right_SPG","Left_OPG","Right_OPG"
"973",1610612748,1610612737,1610612737,130,128,2.5,2.5,2,8,12,0.532,0.554,0.551724138,0.310344828,6,5,7028,7486,536,451,649,679,108.123076923077,116.96875,8.24615384615385,7.046875,9.98461538461538,10.609375,3748,1610612737,1610612748,128,130,0.554,0.532,12,8,0.310344828,0.551724138,7486,7028,451,536,679,649,116.96875,108.123076923077,7.046875,8.24615384615385,10.609375,9.98461538461538
"974",1610612754,1610612755,1610612755,143,147,-6.5,-6.5,-4,5,5,0.589,0.585,0.405405405,0.470588235,8,6,7477,7212,516,493,649,539,115.030769230769,114.47619047619,7.93846153846154,7.82539682539683,9.98461538461538,8.55555555555556,5455,1610612754,1610612755,143,147,0.589,0.585,5,5,0.405405405,0.470588235,7477,7212,516,493,649,539,115.030769230769,114.47619047619,7.93846153846154,7.82539682539683,9.98461538461538,8.55555555555556
"975",1610612758,1610612740,1610612740,123,108,3,3,15,6,7,0.566,0.538,0.421052632,0.379310345,7,6,7627,7308,438,548,581,700,121.063492063492,114.1875,6.95238095238095,8.5625,9.22222222222222,10.9375,4058,1610612740,1610612758,108,123,0.538,0.566,7,6,0.379310345,0.421052632,7308,7627,548,438,700,581,114.1875,121.063492063492,8.5625,6.95238095238095,10.9375,9.22222222222222
"976",1610612765,1610612757,1610612757,104,110,NA,NA,-6,16,5,0.465,0.487,0.3125,0.454545455,9,7,7132,7358,461,415,698,627,111.4375,114.96875,7.203125,6.484375,10.90625,9.796875,5765,1610612757,1610612765,110,104,0.487,0.465,5,16,0.454545455,0.3125,7358,7132,415,461,627,698,114.96875,111.4375,6.484375,7.203125,9.796875,10.90625
"977",1610612742,1610612762,1610612762,120,116,12.5,12.5,4,3,6,0.472,0.446,0.422222222,0.340909091,10,10,7411,7608,423,416,511,775,114.015384615385,117.046153846154,6.50769230769231,6.4,7.86153846153846,11.9230769230769,4262,1610612742,1610612762,120,116,0.472,0.446,3,6,0.422222222,0.340909091,7411,7608,423,416,511,775,114.015384615385,117.046153846154,6.50769230769231,6.4,7.86153846153846,11.9230769230769
"978",1610612745,1610612751,1610612751,96,118,-5,-5,-22,15,5,0.434,0.494,0.269230769,0.375,6,12,7056,7266,459,447,840,493,110.25,113.53125,7.171875,6.984375,13.125,7.703125,4551,1610612745,1610612751,96,118,0.434,0.494,15,5,0.269230769,0.375,7056,7266,459,447,840,493,110.25,113.53125,7.171875,6.984375,13.125,7.703125
"979",1610612747,1610612763,1610612763,112,103,-1,-1,9,7,6,0.456,0.387,0.25,0.243243243,4,6,7586,7296,418,532,639,791,116.707692307692,115.809523809524,6.43076923076923,8.44444444444444,9.83076923076923,12.5555555555556,4763,1610612747,1610612763,112,103,0.456,0.387,7,6,0.25,0.243243243,7586,7296,418,532,639,791,116.707692307692,115.809523809524,6.43076923076923,8.44444444444444,9.83076923076923,12.5555555555556
"980",1610612750,1610612755,1610612755,94,117,4,4,-23,6,8,0.395,0.494,0.305555556,0.6,9,8,7631,7359,541,499,596,544,115.621212121212,114.984375,8.1969696969697,7.796875,9.03030303030303,8.5,5055,1610612750,1610612755,94,117,0.395,0.494,6,8,0.305555556,0.6,7631,7359,541,499,596,544,115.621212121212,114.984375,8.1969696969697,7.796875,9.03030303030303,8.5
"981",1610612752,1610612766,1610612766,105,112,11,11,-7,10,10,0.427,0.494,0.275,0.375,3,2,7621,7379,401,529,828,761,115.469696969697,111.80303030303,6.07575757575758,8.01515151515152,12.5454545454545,11.530303030303,5266,1610612752,1610612766,105,112,0.427,0.494,10,10,0.275,0.375,7621,7379,401,529,828,761,115.469696969697,111.80303030303,6.07575757575758,8.01515151515152,12.5454545454545,11.530303030303
"982",1610612753,1610612749,1610612749,123,134,-1.5,-1.5,-11,10,3,0.5,0.59,0.3,0.357142857,7,5,7213,7396,464,413,655,733,110.969230769231,115.5625,7.13846153846154,6.453125,10.0769230769231,11.453125,4953,1610612749,1610612753,134,123,0.59,0.5,3,10,0.357142857,0.3,7396,7213,413,464,733,655,115.5625,110.969230769231,6.453125,7.13846153846154,11.453125,10.0769230769231
"983",1610612760,1610612744,1610612744,137,128,-1.5,-1.5,9,13,8,0.532,0.528,0.459459459,0.392156863,10,8,7562,7667,533,456,737,655,118.15625,117.953846153846,8.328125,7.01538461538462,11.515625,10.0769230769231,4460,1610612744,1610612760,128,137,0.528,0.532,8,13,0.392156863,0.459459459,7667,7562,456,533,655,737,117.953846153846,118.15625,7.01538461538462,8.328125,10.0769230769231,11.515625
"984",1610612765,1610612764,1610612764,117,119,-12.5,-12.5,-2,10,9,0.512,0.58,0.433333333,0.48,6,9,7236,7240,470,438,714,613,111.323076923077,113.125,7.23076923076923,6.84375,10.9846153846154,9.578125,6465,1610612764,1610612765,119,117,0.58,0.512,9,10,0.48,0.433333333,7240,7236,438,470,613,714,113.125,111.323076923077,6.84375,7.23076923076923,9.578125,10.9846153846154
"985",1610612738,1610612757,1610612757,115,93,10,10,22,5,6,0.477,0.366,0.367346939,0.282051282,9,5,7765,7468,415,422,643,632,117.651515151515,114.892307692308,6.28787878787879,6.49230769230769,9.74242424242424,9.72307692307692,3857,1610612738,1610612757,115,93,0.477,0.366,5,6,0.367346939,0.282051282,7765,7468,415,422,643,632,117.651515151515,114.892307692308,6.28787878787879,6.49230769230769,9.74242424242424,9.72307692307692
"986",1610612740,1610612742,1610612742,113,106,-2,-2,7,9,5,0.506,0.432,0.481481481,0.347826087,4,7,7416,7531,554,433,707,514,114.092307692308,114.106060606061,8.52307692307692,6.56060606060606,10.8769230769231,7.78787878787879,4042,1610612740,1610612742,113,106,0.506,0.432,9,5,0.481481481,0.347826087,7416,7531,554,433,707,514,114.092307692308,114.106060606061,8.52307692307692,6.56060606060606,10.8769230769231,7.78787878787879
